Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HCCS,P53701,1.9660615299690996,2.04642735419959,1.9834427479712389,1.8077755253039491,1.9658133555323367,1.8996625942254965,1.8570961068586485,1.9428718409635515,1.9610447777710966,1.9363440902603628,1.8695216852000023,1.8898292793454345,1.8301473976887692,2.0705893365343115,2.0556121681520096
HCFC1,P51610,1.6009098953074279,1.744250659456899,1.6668722337386797,1.7413647731525685,1.7644347377098768,1.8306132121278829,1.8256626816366328,1.8994204894298257,1.7748175047127361,1.7579077694196386,1.6107014124149224,1.763635069551107,1.7998725327884983,1.7645355430447651,1.7021059586732612
HCK,P08631,-3.6231098701962825,-3.341473413903305,-3.6997487664583826,-3.495277510296578,-3.744796131889089,-3.4066727263740493,-3.764405564584484,-3.955606916281468,-3.9303136063163304,-3.586679281755437,-2.673166116388362,-3.956633955866103,-3.614543347974605,-4.11578817309403,-3.8248873821103544
HCLS1,P14317,1.4836878067837702,1.2739605693699367,0.9919441081963356,1.641717155260043,1.4975974053483476,1.6096490695849468,1.402621449821872,1.3381399338565423,1.023896287869718,1.1813837691633893,1.69710028848014,1.222279725921176,1.4883002458933703,1.3389152973582235,0.9964569991050709
HCN4,Q9Y3Q4,-4.991497618170824,-4.635122680045614,-4.065589553436956,-4.629227571235463,-4.471001784294581,-4.537848742301136,-4.450374302185699,-4.7731733094133375,-4.466743835489808,-4.777918898688098,-4.275168749314883,-4.555482350475389,-4.302144599461931,-4.513898519413248,-4.6046888421347525
HDAC1,Q13547,-0.4653522800001504,-0.386113769175509,-0.5412454251813408,-0.2944786482980355,-0.4076740197941682,-0.3862239555933549,-0.3967970678358341,-0.23193810960718864,-0.3070161559150435,-0.36925971135107005,-0.48863788538568187,-0.21372596655581333,-0.32289937877444785,-0.4565901185521426,-0.4201409002609644
HDAC2,Q92769,-0.14038403482238238,-0.0814693713370005,-0.15904041879088382,-0.04317798291016928,-0.06361422379203319,-0.24617589977954424,0.021293361037134417,-0.18327546083342838,-0.0060213882516073625,0.03090973840069111,-0.016057486055096604,-0.03645927220220102,0.04135267035559309,0.047545349989228214,-0.00955526555627273
HDAC3,O15379,-4.5265964810819685,-5.0042859189607345,-4.992003801396564,-4.725811074569444,-4.772618251906982,-4.955183497289969,-4.503894862677752,-4.900556989813714,-4.669413360155433,-4.313613809166961,-4.651792778224042,-4.379977031977095,-4.354790379123967,-4.535494243308362,-4.639478889578477
HDAC4,P56524,-2.253708867558288,-2.103271342456175,-2.3381721190092506,-2.3314836443988085,-2.2574014995539216,-2.264083241752882,-2.2010034378565173,-2.1240465507412303,-2.1587243311949997,-2.2220597696760755,-1.9858908266594462,-2.0213749134771746,-2.1774055084586124,-2.0267484739521997,-2.1834953680950804
HDAC5,Q9UQL6,-2.051247213716284,-1.8603099872111848,-2.157047760306991,-1.9752857310683858,-1.951794032081974,-1.9314590512485736,-1.9143096679356155,-1.7253216159941687,-1.9591549656681693,-2.036513863594209,-2.3100676565043585,-1.9743645768007632,-1.89349576816711,-1.7942702448449381,-1.99045696760194
