"my_auc","power","avg_log2fc","pct_1","pct_2","cluster","gene","avg_expr","statistic","pval","padj"
0.537245729229887,0.0744914584597742,0.131713524747584,0.265789473684211,0.182291370223229,"Mesothelial","KAZN",0.647170824118438,573896375,8.60408098618447e-14,5.126355694475e-13
0.791433688648565,0.582867377297131,2.45453576538529,0.652631578947368,0.107766912928159,"Mesothelial","PLA2G2A",2.77134762475811,845424915,0,0
0.394129493158859,0.211741013682281,-0.593684286402687,0.0697368421052632,0.276336983619247,"Mesothelial","PLA2G5",0.157365408761686,421016818,1.69902678666364e-73,5.10635832196588e-72
0.415201224700636,0.169597550598729,-0.429320822137636,0.444736842105263,0.581152458251278,"Mesothelial","NFIA",1.01164103076496,443526052.953125,1.39688638007721e-32,1.84699421365765e-31
0.472759089817044,0.0544818203659113,-0.239777082958965,0.141447368421053,0.183899279429007,"Mesothelial","NEGR1",0.333519734495899,505010488,5.30887884572437e-08,2.02468545324594e-07
0.464599396667082,0.0708012066658359,-0.205788113141479,0.05,0.119790658758979,"Mesothelial","ST6GALNAC3",0.118882492466548,496294144.5,2.38604819059605e-17,1.72437754340491e-16
0.349109821546792,0.301780356906416,-0.976613107271393,0.0960526315789474,0.370189078739172,"Mesothelial","NEXN",0.148716234033664,372925926,2.93577492435198e-122,1.47728194193392e-120
0.47573611601855,0.0485277679628996,-0.110876398860813,0.0348684210526316,0.0832683529318019,"Mesothelial","VAV3",0.0741632013941259,508190605.5,8.15962212868454e-12,4.26051778625532e-11
0.38111947345804,0.23776105308392,-0.733877268367114,0.206578947368421,0.39361475064601,"Mesothelial","PDE4DIP",0.381571463561388,407119261,5.20888035424557e-74,1.58425311385269e-72
0.769992048544479,0.539984097088958,2.46917936853193,0.541447368421053,0.00279320864685191,"Mesothelial","ITLN1",2.47481175337095,822520536.5,0,0
0.440648524190983,0.118702951618034,-0.376271310066643,0.0322368421052632,0.147731282798502,"Mesothelial","RGS5",0.0458623456170605,470709355,1.54062602755329e-38,2.39695279127814e-37
0.491719833017094,0.0165603339658126,-0.0411839880731922,0.0125,0.0289850535590288,"Mesothelial","CD247",0.0225081357352661,525264724,0.000120025357246715,0.000315552558863883
0.747570603278248,0.495141206556495,1.64681709081692,0.498026315789474,0.00429582114357918,"Mesothelial","PRG4",1.65523704879681,798569511,0,0
0.732424824534193,0.464849649068386,1.38721062307598,0.553947368421053,0.110712374924585,"Mesothelial","KCNT2",1.65007818898723,782390494.5,0,0
0.4714418142256,0.0571163715487992,-0.146096899561526,0.0236842105263158,0.0809432877616766,"Mesothelial","PTPRC",0.0618325204698892,503603348.5,3.5928965350458e-16,2.43377283750872e-15
